master_relpath	current_relpath	canonical_class	notes
src/gnu/trove/a.java	src/gnu/trove/TByteCollection.java	gnu.trove.TByteCollection	class+pkg renamed
src/gnu/trove/a_ref/a.java	src/gnu/trove/a_ref/a.java	gnu.trove.a_ref.a	1-to-many obfuscator merge of multiple TXxxFunction/TXxxProcedure interfaces; method names a..i must be anchored (not equivalence-checked against canonical execute() method names) — leave on master path with identifier-rename only
src/gnu/trove/b.java	src/gnu/trove/TCharCollection.java	gnu.trove.TCharCollection	class+pkg renamed
src/gnu/trove/b_ref/a.java	src/gnu/trove/impl/Constants.java	gnu.trove.impl.Constants	class+pkg renamed
src/gnu/trove/b_ref/b.java	src/gnu/trove/impl/HashFunctions.java	gnu.trove.impl.HashFunctions	class+pkg renamed
src/gnu/trove/b_ref/c.java	src/gnu/trove/impl/PrimeFinder.java	gnu.trove.impl.PrimeFinder	class+pkg renamed
src/gnu/trove/ba/A_ref.java	src/gnu/trove/impl/hash/TFloatCharHash.java	gnu.trove.impl.hash.TFloatCharHash	class+pkg renamed
src/gnu/trove/ba/B_ref.java	src/gnu/trove/impl/hash/TFloatDoubleHash.java	gnu.trove.impl.hash.TFloatDoubleHash	class+pkg renamed
src/gnu/trove/ba/C_ref.java	src/gnu/trove/impl/hash/TFloatFloatHash.java	gnu.trove.impl.hash.TFloatFloatHash	class+pkg renamed
src/gnu/trove/ba/D_ref.java	src/gnu/trove/impl/hash/TFloatHash.java	gnu.trove.impl.hash.TFloatHash	class+pkg renamed
src/gnu/trove/ba/E_ref.java	src/gnu/trove/impl/hash/TFloatIntHash.java	gnu.trove.impl.hash.TFloatIntHash	class+pkg renamed
src/gnu/trove/ba/F_ref.java	src/gnu/trove/impl/hash/TFloatLongHash.java	gnu.trove.impl.hash.TFloatLongHash	class+pkg renamed
src/gnu/trove/ba/G_ref.java	src/gnu/trove/impl/hash/TFloatShortHash.java	gnu.trove.impl.hash.TFloatShortHash	class+pkg renamed
src/gnu/trove/ba/H_ref.java	src/gnu/trove/impl/hash/THash.java	gnu.trove.impl.hash.THash	class+pkg renamed
src/gnu/trove/ba/I_ref.java	src/gnu/trove/impl/hash/THashIterator.java	gnu.trove.impl.hash.THashIterator	class+pkg renamed
src/gnu/trove/ba/J_ref.java	src/gnu/trove/impl/hash/THashPrimitiveIterator.java	gnu.trove.impl.hash.THashPrimitiveIterator	class+pkg renamed
src/gnu/trove/ba/K_ref.java	src/gnu/trove/impl/hash/TIntByteHash.java	gnu.trove.impl.hash.TIntByteHash	class+pkg renamed
